Date,^DJI,^FCHI,^FTSE,^GSPC,^HSI,^IXIC,^N225,^STOXX50E
2024-10-09,42512.0,7560.08984375,8243.7001953125,5792.0400390625,20637.240234375,18291.619140625,39277.9609375,4982.56982421875
2024-10-10,42454.12109375,7541.58984375,8237.7001953125,5780.0498046875,21251.98046875,18282.05078125,39380.890625,4970.33984375
2024-10-11,42863.859375,7577.89013671875,8253.7001953125,5815.02978515625,,18342.939453125,39605.80078125,5003.919921875
2024-10-14,43065.21875,7602.06005859375,8292.7001953125,5859.85009765625,21092.869140625,18502.689453125,,5041.009765625
2024-10-15,42740.421875,7521.97021484375,8249.2998046875,5815.259765625,20318.7890625,18315.58984375,39910.55078125,4946.72998046875
2024-10-16,43077.69921875,7492.0,8329.099609375,5842.47021484375,20286.849609375,18367.080078125,39180.30078125,4908.7099609375
2024-10-17,43239.05078125,7583.72998046875,8385.099609375,5841.47021484375,20079.099609375,18373.609375,38911.19140625,4947.2998046875
2024-10-18,43275.91015625,7613.0498046875,8358.2998046875,5864.669921875,20804.109375,18489.55078125,38981.75,4986.27001953125
2024-10-21,42931.6015625,7536.22998046875,8318.2001953125,5853.97998046875,20478.4609375,18540.009765625,38954.6015625,4941.22021484375
2024-10-22,42924.890625,7535.10009765625,8306.5,5851.2001953125,20498.94921875,18579.76953125,38411.9609375,4939.31005859375
2024-10-23,42514.94921875,7497.47998046875,8258.599609375,5797.419921875,20760.150390625,18276.650390625,38104.859375,4922.5498046875
2024-10-24,42374.359375,7503.27978515625,8269.400390625,5809.85986328125,20489.619140625,18415.490234375,38143.2890625,4935.4501953125
2024-10-25,42114.3984375,7497.5400390625,8248.7998046875,5808.1201171875,20590.150390625,18518.609375,37913.921875,4943.08984375
2024-10-28,42387.5703125,7556.93994140625,8285.599609375,5823.52001953125,20599.359375,18567.189453125,38605.53125,4969.830078125
2024-10-29,42233.05078125,7511.10986328125,8219.599609375,5832.919921875,20701.140625,18712.75,38903.6796875,4950.02001953125
2024-10-30,42141.5390625,7428.35986328125,8159.60009765625,5813.669921875,20380.640625,18607.9296875,39277.390625,4885.75
2024-10-31,41763.4609375,7350.3701171875,8110.10009765625,5705.4501953125,20317.330078125,18095.150390625,39081.25,4827.6298828125
2024-11-01,42052.19140625,7409.10986328125,8177.2001953125,5728.7998046875,20506.4296875,18239.919921875,38053.671875,4877.75
2024-11-04,41794.6015625,7371.7099609375,8184.2001953125,5712.68994140625,20567.51953125,18179.98046875,,4852.10009765625
2024-11-05,42221.87890625,7407.14990234375,8172.39990234375,5782.759765625,21006.970703125,18439.169921875,38474.8984375,4870.330078125
2024-11-06,43729.9296875,7369.60986328125,8166.7001953125,5929.0400390625,20538.380859375,18983.470703125,39480.671875,4800.6298828125
2024-11-07,43729.33984375,7425.60009765625,8140.7001953125,5973.10009765625,20953.33984375,19269.4609375,39381.41015625,4851.9599609375
2024-11-08,43988.98828125,7338.669921875,8072.39990234375,5995.5400390625,20728.189453125,19286.779296875,39500.37109375,4802.759765625
2024-11-11,44293.12890625,7426.8798828125,8125.2001953125,6001.35009765625,20426.9296875,19298.759765625,39533.3203125,4854.02978515625
2024-11-12,43910.98046875,7226.97998046875,8025.7998046875,5983.990234375,19846.880859375,19281.400390625,39376.08984375,4744.68994140625
2024-11-13,43958.19140625,7216.830078125,8030.2998046875,5985.3798828125,19823.44921875,19230.720703125,38721.66015625,4740.33984375
2024-11-14,43750.859375,7311.7998046875,8071.2001953125,5949.169921875,19435.810546875,19107.650390625,38535.69921875,4833.52978515625
2024-11-15,43444.98828125,7269.6298828125,8063.60009765625,5870.6201171875,19426.33984375,18680.119140625,38642.91015625,4794.85009765625
2024-11-18,43389.6015625,7278.22998046875,8109.2998046875,5893.6201171875,19576.609375,18791.810546875,38220.8515625,4790.330078125
2024-11-19,43268.94140625,7229.64013671875,8099.0,5916.97998046875,19663.669921875,18987.470703125,38414.4296875,4751.22998046875
2024-11-20,43408.46875,7198.4501953125,8085.10009765625,5917.10986328125,19705.009765625,18966.140625,38352.33984375,4729.7099609375
2024-11-21,43870.3515625,7213.31982421875,8149.2998046875,5948.7099609375,19601.109375,18972.419921875,38026.171875,4755.830078125
2024-11-22,44296.51171875,7255.009765625,8262.099609375,5969.33984375,19229.970703125,19003.650390625,38283.8515625,4789.080078125
